2014-10-27 11:10:03,885 - INFO  [QuorumPeer:/172.21.1.2:2181:Environment@97] - Server environment:os.arch=amd64
2014-10-27 11:10:03,885 - INFO  [QuorumPeer:/172.21.1.2:2181:Environment@97] - Server environment:os.version=2.6.32-279.19.3.el6.ucloud.x86_64
2014-10-27 11:10:03,885 - INFO  [QuorumPeer:/172.21.1.2:2181:Environment@97] - Server environment:user.name=root
2014-10-27 11:10:03,885 - INFO  [QuorumPeer:/172.21.1.2:2181:Environment@97] - Server environment:user.home=/root
2014-10-27 11:10:03,885 - INFO  [QuorumPeer:/172.21.1.2:2181:Environment@97] - Server environment:user.dir=/root/zookeeper-3.3.5/bin
2014-10-27 11:10:03,886 - INFO  [QuorumPeer:/172.21.1.2:2181:ZooKeeperServer@154] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /root/zookeeper/version-2 snapdir /root/zookeeper/version-2
2014-10-27 11:10:03,895 - INFO  [QuorumPeer:/172.21.1.2:2181:Learner@291] - Getting a diff from the leader 0x87270c4f0b
2014-10-27 11:10:03,900 - INFO  [QuorumPeer:/172.21.1.2:2181:Learner@326] - Setting leader epoch 87
2014-10-27 11:10:03,900 - WARN  [QuorumPeer:/172.21.1.2:2181:Learner@342] - Got zxid 0x87270c4de3 expected 0x1
2014-10-27 11:10:03,909 - INFO  [QuorumPeer:/172.21.1.2:2181:FileTxnSnapLog@254] - Snapshotting: 87270c4f0b
2014-10-27 11:10:04,004 - WARN  [QuorumPeer:/172.21.1.2:2181:Follower@116] - Got zxid 0x87270c4f0c expected 0x1
2014-10-27 11:10:04,005 - INFO  [SyncThread:1:FileTxnLog@199] - Creating new log file: log.87270c4f0c
